"talk","judge","feature1","feature2"
1,9,2,2
1,7,2,3
1,16,4,6
2,1,3,5
2,6,1,6
3,2,5,6
3,13,6,5
4,4,1,2
4,11,3,6
4,15,3,7
4,10,2,3
5,14,4,4
5,1,6,6
5,12,7,4
5,6,3,2
6,4,6,6
6,13,4,5
6,15,4,4
7,14,5,4
7,11,5,6
7,8,5,4
7,6,6,5
8,4,5,4
8,11,6,6
8,6,1,6
8,16,5,4
9,14,6,5
9,13,5,5
9,8,6,5
10,9,4,7
10,7,7,6
10,11,3,4
10,5,6,7
11,7,4,4
11,13,6,7
11,10,6,7
11,16,5,6
12,9,6,7
12,1,5,5
12,5,6,4
12,15,6,5
13,9,3,3
13,2,4,2
13,13,2,4
13,3,3,4
14,13,5,4
14,15,7,5
14,10,6,6
14,16,5,6
15,9,7,7
15,12,4,7
15,6,7,7
16,4,5,4
16,2,5,4
16,10,5,3
16,16,4,4
17,9,5,6
17,7,5,3
17,8,5,4
17,5,6,5
18,14,4,6
18,3,4,3
18,12,4,6
18,10,5,6
19,14,3,5
19,11,4,6
19,3,3,3
19,12,4,5
20,2,4,4
20,5,4,4
20,6,1,3
20,15,5,3
21,14,4,6
21,2,6,6
21,8,6,6
21,15,6,6
22,7,3,2
22,1,6,5
22,13,6,5
23,4,2,1
23,6,1,1
23,15,6,5
23,10,3,2
24,13,3,3
24,3,3,4
24,8,6,6
24,16,5,7
25,4,4,5
25,1,2,4
25,8,6,7
25,10,5,4
26,9,3,4
26,4,4,4
26,5,4,4
27,14,6,4
27,15,7,7
27,10,6,6
28,14,3,2
28,9,3,2
28,4,1,1
28,1,3,5
29,7,5,5
29,1,3,4
29,3,4,6
29,10,5,7
30,7,5,4
30,3,3,3
30,12,5,3
30,16,4,4
31,14,5,6
31,1,6,7
31,8,5,5
32,7,6,4
32,1,5,6
32,6,4,5
32,16,5,4
33,4,4,4
33,2,3,3
33,12,3,3
33,6,6,6
34,2,6,6
34,16,4,5
35,9,7,6
35,7,5,3
35,3,3,3
35,5,4,5
36,14,5,6
36,13,3,4
36,8,4,4
36,5,3,4
37,14,5,3
37,9,7,7
37,5,3,2
37,10,3,2
38,1,6,4
38,11,6,7
38,16,6,6
39,4,6,6
39,1,6,4
39,12,5,5
39,5,3,5
40,7,6,4
40,11,7,6
40,8,6,4
40,15,7,5
41,9,3,4
41,2,3,4
41,13,2,3
41,11,3,4
42,14,4,5
42,3,2,2
42,15,4,5
43,14,5,5
43,13,4,4
43,8,7,7
43,5,6,6
44,1,3,4
44,3,3,3
44,10,2,6
45,2,6,6
45,12,5,7
45,16,6,6
46,3,5,5
46,8,5,4
46,12,7,4
46,5,4,4
47,9,3,3
47,8,5,3
47,16,6,4
48,9,7,7
48,4,6,5
48,7,5,4
49,2,4,3
49,8,5,6
49,15,6,7
50,1,2,3
50,12,3,4
50,6,1,3
51,4,7,7
51,13,6,7
51,3,6,7
51,15,6,7
52,13,7,6
52,6,3,1
52,10,5,6
53,4,5,5
53,2,5,4
53,5,4,3
54,14,6,6
54,9,7,7
54,11,5,6
54,6,3,7
55,2,7,5
55,11,7,6
55,12,5,5
55,16,5,6
56,1,4,3
56,13,4,4
56,5,3,2
56,10,4,5
57,2,4,3
57,11,5,5
57,12,6,4
57,6,5,5
58,4,6,6
58,3,4,2
58,15,6,7
59,2,7,7
59,16,7,5
60,7,4,3
60,11,4,5
60,8,5,3
60,10,5,6
